Date	File Name	Objective Info	Z Slices	Ch1 Exposure	Ch2 Exposure	Binning	Sensor Width	Sensor Height	FileSizeGB
16-Jul-2024 08:13:18	20240716_ms8b_expanded_2_metadata	60x 1.2NA water objective	299	22.75	200	1x1	2046	2046	0.006279216
16-Jul-2024 10:39:06	20240716_ms8b_expanded_6_metadata	60x 1.2NA water objective	94	22.75	200	1x1	2046	2046	0.006279216
16-Jul-2024 07:41:22	20240716_ms8b_expanded_metadata	60x 1.2NA water objective	15	22.75	200	1x1	2046	2046	0.006279216
03-May-2024 08:40:00	20x_1_metadata	Confocal 40um	1	200	200	2x2	1024	1023	0.001571368
03-May-2024 08:42:23	20x_2_metadata	Confocal 40um	1	200	500	2x2	1024	1023	0.001571368
03-May-2024 08:43:00	20x_3_metadata	Confocal 40um	1	500	500	2x2	1024	1023	0.001571368
03-May-2024 08:45:37	20x_4_metadata	Confocal 40um	1	500	500	2x2	1024	1023	0.001571368
03-May-2024 08:45:55	20x_5_metadata	Confocal 40um	1	500	500	2x2	1024	1023	0.001571368
03-May-2024 08:55:11	20x_6_metadata	Confocal 40um	1	500	500	2x2	1024	1023	0.001571368
03-May-2024 08:57:34	20x_7_metadata	20x air objective	1	100	100	2x2	1024	1023	0.001571368
03-May-2024 09:10:39	20x_8_metadata	20x air objective	1	200	100	4x4	512	511	0.000392488
03-May-2024 08:37:34	20x_metadata	Confocal 40um	1	200	80	2x2	1024	1023	0.001571368
28-Jun-2024 13:28:40	240628_ms8_b_1_metadata	60x 1.2NA water objective	447	25	200	3x3	682	682	0.000697728
28-Jun-2024 13:27:48	240628_ms8_b_metadata	60x 1.2NA water objective	447	25	200	3x3	682	682	0.000697728
29-Jun-2024 16:50:04	240629_ms8_b_4_metadata	60x 1.2NA water objective	390	200	200	3x3	682	682	0.000697728
29-Jun-2024 12:00:08	240629_ms8_b_metadata	60x 1.2NA water objective	390	200	200	1x1	2046	2046	0.006279216
13-Jul-2024 12:51:32	240713_ms8b_20xshrunk_3_metadata	60x 1.2NA water objective	89	100	30	3x3	682	682	0.000697728
18-Jul-2024 07:49:11	240718_ms8_b_expanded_1_metadata	60x 1.2NA water objective	105	124	200	1x1	2046	2046	0.006279216
18-Jul-2024 12:43:43	240718_ms8_b_expanded_2_metadata	Confocal 40um	1	200	200	1x1	2046	2046	0.006279216
18-Jul-2024 13:30:54	240718_ms8_b_expanded_3_metadata	Confocal 40um	1	200	200	1x1	2046	2046	0.006279216
18-Jul-2024 13:38:20	240718_ms8_b_expanded_5_metadata	60x 1.2NA water objective	159	200	200	1x1	2046	2046	0.006279216
21-Jul-2024 12:10:55	240721_ms8_b_60x_expanded_metadata	60x 1.2NA water objective	60	200	100	1x1	2048	2046	0.006285352
03-May-2024 10:29:48	60x_11_metadata	60x 1.2NA water objective	199	200	200	1x1	2048	2046	0.006285352
03-May-2024 11:08:40	60x_13_metadata	60x 1.2NA water objective	6	200	200	1x1	2048	2046	0.006285352
03-May-2024 11:41:24	60x_14_metadata	60x 1.2NA water objective	297	200	200	1x1	2048	2046	0.006285352
03-May-2024 09:36:25	60x_1_metadata	Confocal 40um	1	200	400	4x4	2048	2046	0.000392488
03-May-2024 09:45:34	60x_2_metadata	60x 1.2NA water objective	1	200	100	4x4	2048	2046	0.000392488
03-May-2024 09:54:53	60x_3_metadata	Confocal 40um	1	200	200	4x4	2048	2046	0.000392488
03-May-2024 09:55:37	60x_4_metadata	Confocal 40um	1	200	200	4x4	512	511	0.000392488
03-May-2024 09:55:47	60x_5_metadata	Confocal 40um	1	200	200	1x1	2048	2046	0.006285352
03-May-2024 09:58:33	60x_6_metadata	60x 1.2NA water objective	1	200	100	1x1	2048	2046	0.006285352
03-May-2024 10:09:22	60x_7_metadata	60x 1.2NA water objective	1	200	100	1x1	2048	2046	0.006285352
03-May-2024 10:17:44	60x_8_metadata	60x 1.2NA water objective	414	200	100	1x1	2048	2046	0.006285352
03-May-2024 09:25:19	60x_metadata	60x 1.2NA water objective	1	200	400	4x4	1024	1023	0.000392488
27-May-2024 09:26:53	Image_3_metadata	60x 1.2NA water objective	35	200	25	3x3	682	682	0.000930288
